49 	 # Number of sensors 
# x z 
0.00 10.73 
2.00 10.69 
4.59 10.63 
6.40 10.38 
8.30 9.89 
10.15 9.84 
12.39 9.39 
14.22 8.99 
16.10 8.67 
17.95 8.38 
19.83 8.10 
21.79 7.91 
23.84 7.72 
25.78 7.44 
27.88 7.20 
29.85 6.73 
31.94 6.63 
33.94 6.38 
35.82 6.18 
37.81 5.45 
39.78 5.41 
41.78 5.40 
43.76 5.34 
45.86 5.01 
47.73 4.73 
49.72 4.43 
51.82 4.05 
53.55 3.69 
55.51 3.49 
57.67 3.06 
59.14 2.69 
61.66 2.38 
63.36 2.27 
65.65 1.77 
67.39 1.49 
69.53 1.02 
71.52 0.77 
73.32 0.42 
75.24 0.25 
77.27 0.00 
79.17 0.16 
81.26 0.27 
83.24 0.35 
85.27 0.39 
87.30 0.31 
89.21 0.36 
91.30 0.17 
93.28 0.29 
95.30 0.41 
529 	 # Number of measurements 
# a b m n u i err
18 25 21 22 19.360 0.270  0.01
18 23 20 21 26.951 0.229  0.01
18 21 19 20 165.520 0.324  0.01
19 48 33 34 20.431 2.275  0.01
19 46 32 33 19.579 2.012  0.01
19 44 31 32 19.509 1.388  0.01
19 42 30 31 19.881 1.230  0.01
19 40 29 30 19.420 0.987  0.01
19 38 28 29 19.372 0.730  0.01
19 36 27 28 21.957 1.335  0.01
19 34 26 27 19.493 0.459  0.01
19 32 25 26 18.981 0.513  0.01
19 30 24 25 20.733 0.477  0.01
19 28 23 24 20.415 0.348  0.01
19 26 22 23 21.188 0.243  0.01
19 24 21 22 21.292 0.200  0.01
19 22 20 21 23.669 0.104  0.01
20 49 34 35 20.555 2.260  0.01
20 47 33 34 20.453 1.969  0.01
20 45 32 33 19.633 1.736  0.01
20 43 31 32 18.997 1.130  0.01
20 41 30 31 22.561 1.159  0.01
20 39 29 30 20.994 0.874  0.01
20 37 28 29 22.205 0.691  0.01
20 35 27 28 20.755 1.001  0.01
20 33 26 27 22.249 0.405  0.01
20 31 25 26 18.924 0.377  0.01
20 29 24 25 21.823 0.343  0.01
20 27 23 24 22.624 0.267  0.01
20 25 22 23 57.449 0.369  0.01
20 23 21 22 79.133 0.296  0.01
21 48 34 35 20.164 1.969  0.01
21 46 33 34 20.304 1.736  0.01
21 44 32 33 19.932 1.526  0.01
21 42 31 32 20.930 1.097  0.01
21 40 30 31 23.273 1.047  0.01
21 38 29 30 21.378 0.739  0.01
21 36 28 29 20.259 0.513  0.01
21 34 27 28 19.490 0.758  0.01
21 32 26 27 23.867 0.343  0.01
21 30 25 26 20.507 0.304  0.01
21 28 24 25 30.301 0.315  0.01
21 26 23 24 65.820 0.443  0.01
21 24 22 23 158.711 0.505  0.01
22 49 35 36 19.773 2.151  0.01
22 47 34 35 19.633 1.729  0.01
22 45 33 34 20.771 1.578  0.01
22 43 32 33 21.060 1.424  0.01
22 41 31 32 21.903 0.992  0.01
22 39 30 31 19.929 0.769  0.01
22 37 29 30 22.090 0.658  0.01
22 35 28 29 23.464 0.496  0.01
22 33 27 28 20.183 0.629  0.01
22 31 26 27 23.782 0.253  0.01
22 29 25 26 21.941 0.229  0.01
22 27 24 25 35.820 0.257  0.01
22 25 23 24 97.434 0.353  0.01
23 48 35 36 19.439 1.829  0.01
23 46 34 35 19.891 1.521  0.01
23 44 33 34 21.013 1.359  0.01
23 42 32 33 20.663 1.192  0.01
23 40 31 32 19.274 0.758  0.01
23 38 30 31 20.644 0.639  0.01
23 36 29 30 20.720 0.486  0.01
23 34 28 29 23.441 0.381  0.01
23 32 27 28 21.950 0.512  0.01
23 30 26 27 31.306 0.219  0.01
23 28 25 26 37.988 0.224  0.01
23 26 24 25 95.797 0.286  0.01
24 49 36 37 23.047 1.764  0.01
24 47 35 36 20.952 1.723  0.01
24 45 34 35 20.132 1.332  0.01
24 43 33 34 21.458 1.192  0.01
24 41 32 33 18.908 0.916  0.01
24 39 31 32 11.133 0.364  0.01
24 37 30 31 21.696 0.555  0.01
24 35 29 30 20.415 0.378  0.01
24 33 28 29 24.045 0.291  0.01
24 31 27 28 24.907 0.391  0.01
24 29 26 27 59.465 0.248  0.01
24 27 25 26 82.270 0.281  0.01
25 48 36 37 20.123 1.330  0.01
25 46 35 36 20.542 1.472  0.01
25 44 34 35 19.554 1.079  0.01
25 42 33 34 19.569 0.916  0.01
25 40 32 33 19.601 0.792  0.01
25 38 31 32 21.277 0.534  0.01
25 36 30 31 20.367 0.396  0.01
25 34 29 30 24.805 0.339  0.01
25 32 28 29 24.153 0.205  0.01
25 30 27 28 27.790 0.257  0.01
25 28 26 27 162.726 0.267  0.01
26 49 37 38 20.329 2.065  0.01
26 47 36 37 19.964 1.138  0.01
26 45 35 36 20.949 1.270  0.01
26 43 34 35 19.910 0.923  0.01
26 41 33 34 18.311 0.701  0.01
26 39 32 33 21.337 0.680  0.01
26 37 31 32 24.576 0.515  0.01
26 35 30 31 24.039 0.348  0.01
26 33 29 30 29.141 0.272  0.01
26 31 28 29 54.334 0.256  0.01
26 29 27 28 56.915 0.234  0.01
27 48 37 38 19.719 1.631  0.01
27 46 36 37 20.917 0.954  0.01
27 44 35 36 21.149 1.017  0.01
27 42 34 35 19.420 0.703  0.01
27 40 33 34 18.667 0.548  0.01
27 38 32 33 19.261 0.429  0.01
27 36 31 32 19.544 0.269  0.01
27 34 30 31 21.318 0.191  0.01
27 32 29 30 33.592 0.172  0.01
27 30 28 29 138.884 0.205  0.01
28 49 38 39 20.084 1.059  0.01
28 47 37 38 19.849 1.445  0.01
28 45 36 37 21.553 0.839  0.01
28 43 35 36 19.493 0.801  0.01
28 41 34 35 21.668 0.642  0.01
28 39 33 34 21.451 0.505  0.01
28 37 32 33 21.938 0.386  0.01
28 35 31 32 28.846 0.267  0.01
28 33 30 31 38.207 0.219  0.01
28 31 29 30 99.446 0.210  0.01
29 48 38 39 19.589 0.834  0.01
29 46 37 38 19.894 1.121  0.01
29 44 36 37 20.660 0.610  0.01
29 42 35 36 19.852 0.637  0.01
29 40 34 35 21.496 0.482  0.01
29 38 33 34 20.415 0.319  0.01
29 36 32 33 17.551 0.196  0.01
29 34 31 32 36.527 0.173  0.01
29 32 30 31 72.053 0.162  0.01
30 49 39 40 19.925 1.183  0.01
30 47 38 39 20.307 0.710  0.01
30 45 37 38 20.440 0.911  0.01
30 43 36 37 22.701 0.528  0.01
30 41 35 36 20.348 0.505  0.01
30 39 34 35 22.373 0.358  0.01
30 37 33 34 24.150 0.257  0.01
30 35 32 33 39.619 0.257  0.01
30 33 31 32 122.856 0.215  0.01
31 48 39 40 20.558 0.981  0.01
31 46 38 39 20.564 0.572  0.01
31 44 37 38 20.221 0.672  0.01
31 42 36 37 23.209 0.405  0.01
31 40 35 36 22.847 0.415  0.01
31 38 34 35 18.943 0.181  0.01
31 36 33 34 16.403 0.094  0.01
31 34 32 33 67.628 0.191  0.01
32 49 40 41 20.326 1.295  0.01
32 47 39 40 19.900 0.771  0.01
32 45 38 39 21.903 0.472  0.01
32 43 37 38 19.652 0.525  0.01
32 41 36 37 25.005 0.312  0.01
32 39 35 36 18.447 0.196  0.01
32 37 34 35 35.203 0.211  0.01
32 35 33 34 96.309 0.210  0.01
33 48 40 41 20.237 1.025  0.01
33 46 39 40 20.215 0.606  0.01
33 44 38 39 23.378 0.372  0.01
33 42 37 38 22.624 0.429  0.01
33 40 36 37 36.211 0.310  0.01
33 38 35 36 32.167 0.191  0.01
33 36 34 35 41.628 0.099  0.01
34 49 41 42 20.727 0.844  0.01
34 47 40 41 21.219 0.863  0.01
34 45 39 40 19.048 0.432  0.01
34 43 38 39 21.671 0.250  0.01
34 41 37 38 20.154 0.243  0.01
34 39 36 37 31.865 0.145  0.01
34 37 35 36 93.543 0.238  0.01
35 48 41 42 19.747 0.610  0.01
35 46 40 41 20.564 0.614  0.01
35 44 39 40 20.730 0.324  0.01
35 42 38 39 36.850 0.277  0.01
35 40 37 38 52.029 0.410  0.01
35 38 36 37 136.131 0.229  0.01
36 49 42 43 20.787 0.744  0.01
36 47 41 42 21.340 0.525  0.01
36 45 40 41 20.717 0.439  0.01
36 43 39 40 22.879 0.238  0.01
36 41 38 39 35.478 0.159  0.01
36 39 37 38 37.561 0.110  0.01
37 48 42 43 21.092 0.520  0.01
37 46 41 42 24.303 0.386  0.01
37 44 40 41 27.072 0.329  0.01
37 42 39 40 54.773 0.281  0.01
37 40 38 39 267.268 0.429  0.01
38 49 43 44 19.499 0.556  0.01
38 47 42 43 18.320 0.327  0.01
38 45 41 42 17.742 0.180  0.01
38 43 40 41 31.471 0.243  0.01
38 41 39 40 95.930 0.238  0.01
39 48 43 44 15.276 0.387  0.01
39 46 42 43 15.109 0.153  0.01
39 44 41 42 28.820 0.149  0.01
39 42 40 41 47.639 0.145  0.01
40 49 44 45 21.143 0.305  0.01
40 47 43 44 33.906 0.412  0.01
40 45 42 43 46.558 0.286  0.01
40 43 41 42 194.076 0.486  0.01
41 48 44 45 23.308 0.229  0.01
41 46 43 44 38.385 0.277  0.01
41 44 42 43 119.423 0.348  0.01
42 49 45 46 18.473 0.243  0.01
42 47 44 45 48.825 0.277  0.01
42 45 43 44 69.552 0.211  0.01
43 48 45 46 31.813 0.238  0.01
43 46 44 45 156.257 0.291  0.01
44 49 46 47 24.020 0.186  0.01
44 47 45 46 104.850 0.329  0.01
45 48 46 47 78.459 0.176  0.01
46 49 47 48 50.860 0.167  0.01
