72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n u i err
27 69 41 55 374.436 4.859  0.01
27 66 40 53 434.698 4.601  0.01
27 63 39 51 606.563 4.725  0.01
27 60 38 49 1081.332 6.299  0.01
27 57 37 47 1189.504 5.336  0.01
27 54 36 45 1924.824 6.725  0.01
27 51 35 43 2832.100 8.458  0.01
28 70 42 56 336.219 4.435  0.01
28 67 41 54 528.009 5.606  0.01
28 64 40 52 610.795 4.881  0.01
28 61 39 50 870.042 5.430  0.01
28 58 38 48 1028.022 4.768  0.01
28 55 37 46 1938.595 6.836  0.01
28 52 36 44 2976.671 8.672  0.01
28 49 35 42 3013.289 7.898  0.01
29 71 43 57 301.155 4.052  0.01
29 68 42 55 449.754 4.897  0.01
29 65 41 53 604.039 5.212  0.01
29 62 40 51 845.186 5.333  0.01
29 59 39 49 1091.839 5.215  0.01
29 56 38 47 1574.103 5.789  0.01
29 53 37 45 2713.399 7.676  0.01
29 50 36 43 3031.206 7.491  0.01
30 72 44 58 328.710 4.532  0.01
30 69 43 56 391.579 4.290  0.01
30 66 42 54 461.776 4.085  0.01
30 63 41 52 628.396 4.214  0.01
30 60 40 50 1088.844 5.476  0.01
30 57 39 48 1245.631 4.649  0.01
30 54 38 46 1933.483 5.655  0.01
30 51 37 44 2785.380 6.814  0.01
31 70 44 57 347.491 3.810  0.01
31 67 43 55 526.273 4.652  0.01
31 64 42 53 620.548 4.176  0.01
31 61 41 51 897.721 4.640  0.01
31 58 40 49 1036.322 4.082  0.01
31 55 39 47 1838.821 5.441  0.01
31 52 38 45 2768.366 6.539  0.01
31 49 37 43 3032.747 6.247  0.01
32 71 45 58 342.103 3.638  0.01
32 68 44 56 483.237 4.176  0.01
32 65 43 54 654.022 4.390  0.01
32 62 42 52 877.862 4.511  0.01
